ROWID,PRODUCT_ID,CUSTOMER_ID,PRICE,QUANTITY,TIMESTAMP
104,8972,58516,4277,5,2017-11-22T03:53:23Z
105,7905,59794,542,2,2017-11-22T03:53:24Z
106,6295,86874,2706,2,2017-11-22T03:53:25Z
107,6665,56517,4821,1,2017-11-22T03:53:26Z
108,8851,23457,4612,3,2017-11-22T03:53:27Z
109,6713,26624,1705,1,2017-11-22T03:53:28Z
110,6860,8700,867,5,2017-11-22T03:53:29Z
111,6808,57569,4543,2,2017-11-22T03:53:30Z
112,8230,15972,3992,5,2017-11-22T03:53:31Z
113,6963,81525,3314,1,2017-11-22T03:53:32Z
114,8458,20992,4500,3,2017-11-22T03:53:33Z
115,6630,35148,808,1,2017-11-22T03:53:34Z
116,8254,35706,3109,5,2017-11-22T03:53:35Z
117,8682,8237,2348,4,2017-11-22T03:53:36Z
118,5988,63757,1060,1,2017-11-22T03:53:37Z
119,7200,51795,4159,5,2017-11-22T03:53:38Z
120,7719,23610,1636,2,2017-11-22T03:53:39Z
121,7488,79598,3500,1,2017-11-22T03:53:40Z
122,8851,85200,4612,4,2017-11-22T03:53:41Z
123,8399,71466,2521,2,2017-11-22T03:53:42Z
124,7414,36555,2368,4,2017-11-22T03:53:43Z
125,7235,9599,2940,1,2017-11-22T03:53:44Z
126,8867,43886,1358,3,2017-11-22T03:53:45Z
127,6664,68648,3995,4,2017-11-22T03:53:46Z
128,7232,18330,3797,1,2017-11-22T03:53:47Z
129,8587,83612,4444,5,2017-11-22T03:53:48Z
130,6675,62980,2210,4,2017-11-22T03:53:49Z
131,6345,43720,4844,4,2017-11-22T03:53:50Z
132,7696,10298,2753,3,2017-11-22T03:53:51Z
133,8961,46592,3819,4,2017-11-22T03:53:52Z
134,8317,59324,4412,5,2017-11-22T03:53:53Z
135,6578,54176,1177,4,2017-11-22T03:53:54Z
136,6862,88765,2248,1,2017-11-22T03:53:55Z
137,7671,20918,253,5,2017-11-22T03:53:56Z
138,6461,29666,1719,3,2017-11-22T03:53:57Z
139,8268,47354,1509,5,2017-11-22T03:53:58Z
140,7349,17061,3104,5,2017-11-22T03:53:59Z
141,8575,89346,2990,5,2017-11-22T03:54:00Z
142,5712,4188,3491,1,2017-11-22T03:54:01Z
143,6648,5344,2262,1,2017-11-22T03:54:02Z
144,8099,31630,4913,1,2017-11-22T03:54:03Z
145,6458,13199,1619,4,2017-11-22T03:54:04Z
146,7656,55488,4914,2,2017-11-22T03:54:05Z
147,7208,84435,1424,3,2017-11-22T03:54:06Z
148,7500,32778,2510,5,2017-11-22T03:54:07Z
149,8463,69405,4534,5,2017-11-22T03:54:08Z
150,6069,29024,360,1,2017-11-22T03:54:09Z
151,5932,2141,4604,5,2017-11-22T03:54:10Z
152,8066,33197,400,3,2017-11-22T03:54:11Z
153,7472,49459,4840,5,2017-11-22T03:54:12Z
154,6687,57133,450,2,2017-11-22T03:54:13Z
155,7523,64466,4101,2,2017-11-22T03:54:14Z
156,7956,70470,4240,2,2017-11-22T03:54:15Z
157,7219,11772,243,2,2017-11-22T03:54:16Z
158,8660,71715,4416,4,2017-11-22T03:54:17Z
159,7968,89501,913,5,2017-11-22T03:54:18Z
160,8164,64544,383,4,2017-11-22T03:54:19Z
161,5979,27180,498,2,2017-11-22T03:54:20Z
162,8537,37288,1618,5,2017-11-22T03:54:21Z
163,6343,54735,4999,1,2017-11-22T03:54:22Z
164,6821,50030,4364,5,2017-11-22T03:54:23Z
165,8444,12610,457,1,2017-11-22T03:54:24Z
166,8467,25397,4768,3,2017-11-22T03:54:25Z
167,7588,49676,4280,2,2017-11-22T03:54:26Z
168,7051,77831,1149,4,2017-11-22T03:54:27Z
169,7852,76253,3612,4,2017-11-22T03:54:28Z
170,7113,50338,379,3,2017-11-22T03:54:29Z
171,8899,9942,1823,2,2017-11-22T03:54:30Z
172,7009,51159,1270,4,2017-11-22T03:54:31Z
173,8628,1372,1896,5,2017-11-22T03:54:32Z
174,8766,15369,1661,3,2017-11-22T03:54:33Z
175,6510,33812,168,1,2017-11-22T03:54:34Z
